2019-05-29 22:17:35.862311: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 22:17:35.869750: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2599865000 Hz
2019-05-29 22:17:35.869850: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6d4a410 executing computations on platform Host. Devices:
2019-05-29 22:17:35.869864: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 22:17:35.870021: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 130 of [130, 140)
attack: step 1/30, xent loss = 2.28246, l2 loss = 0 (max 14.95), (true 30, predicted [32])
attack: step 2/30, xent loss = 7.74891, l2 loss = 1.59873 (max 14.95), (true 30, predicted [32])
attack: step 3/30, xent loss = 10.6797, l2 loss = 2.18054 (max 14.95), (true 30, predicted [328])
attack: step 4/30, xent loss = 12.6782, l2 loss = 2.29592 (max 14.95), (true 30, predicted [328])
attack: step 5/30, xent loss = 12.1931, l2 loss = 2.59436 (max 14.95), (true 30, predicted [328])
attack: step 6/30, xent loss = 14.1575, l2 loss = 2.8257 (max 14.95), (true 30, predicted [328])
attack: step 7/30, xent loss = 16.7105, l2 loss = 3.17589 (max 14.95), (true 30, predicted [328])
attack: step 8/30, xent loss = 16.6042, l2 loss = 3.83825 (max 14.95), (true 30, predicted [328])
attack: step 9/30, xent loss = 17.8182, l2 loss = 4.3272 (max 14.95), (true 30, predicted [328])
attack: step 10/30, xent loss = 19.1169, l2 loss = 5.22124 (max 14.95), (true 30, predicted [328])
attack: step 11/30, xent loss = 23.1955, l2 loss = 5.63176 (max 14.95), (true 30, predicted [328])
attack: step 12/30, xent loss = 20.5176, l2 loss = 6.03103 (max 14.95), (true 30, predicted [328])
attack: step 13/30, xent loss = 21.4597, l2 loss = 6.46623 (max 14.95), (true 30, predicted [328])
attack: step 14/30, xent loss = 29.5111, l2 loss = 6.83967 (max 14.95), (true 30, predicted [328])
attack: step 15/30, xent loss = 30.3957, l2 loss = 7.37489 (max 14.95), (true 30, predicted [328])
attack: step 16/30, xent loss = 27.7043, l2 loss = 7.80411 (max 14.95), (true 30, predicted [328])
attack: step 17/30, xent loss = 31.0544, l2 loss = 8.34204 (max 14.95), (true 30, predicted [328])
attack: step 18/30, xent loss = 36.0089, l2 loss = 8.61725 (max 14.95), (true 30, predicted [328])
attack: step 19/30, xent loss = 30.8756, l2 loss = 9.0969 (max 14.95), (true 30, predicted [328])
attack: step 20/30, xent loss = 30.479, l2 loss = 9.77711 (max 14.95), (true 30, predicted [328])
attack: step 21/30, xent loss = 41.4348, l2 loss = 10.0625 (max 14.95), (true 30, predicted [328])
attack: step 22/30, xent loss = 44.2641, l2 loss = 10.3069 (max 14.95), (true 30, predicted [328])
attack: step 23/30, xent loss = 28.8041, l2 loss = 10.9203 (max 14.95), (true 30, predicted [328])
attack: step 24/30, xent loss = 35.3681, l2 loss = 11.2766 (max 14.95), (true 30, predicted [328])
attack: step 25/30, xent loss = 41.6039, l2 loss = 11.6305 (max 14.95), (true 30, predicted [328])
attack: step 26/30, xent loss = 41.7798, l2 loss = 11.8659 (max 14.95), (true 30, predicted [328])
attack: step 27/30, xent loss = 44.0396, l2 loss = 12.4278 (max 14.95), (true 30, predicted [328])
attack: step 28/30, xent loss = 41.3891, l2 loss = 12.7012 (max 14.95), (true 30, predicted [328])
attack: step 29/30, xent loss = 42.3845, l2 loss = 12.9952 (max 14.95), (true 30, predicted [328])
