2019-05-29 20:45:48.636229: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-29 20:45:48.642134: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600020000 Hz
2019-05-29 20:45:48.642226: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6fc2380 executing computations on platform Host. Devices:
2019-05-29 20:45:48.642239: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-29 20:45:48.642393: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 630 of [630, 640)
attack: step 1/30, xent loss = 0.398469, l2 loss = 0 (max 14.95), (true 733, predicted [733])
attack: step 2/30, xent loss = 4.9279, l2 loss = 1.05928 (max 14.95), (true 733, predicted [970])
attack: step 3/30, xent loss = 7.37054, l2 loss = 3.08765 (max 14.95), (true 733, predicted [403])
attack: step 4/30, xent loss = 11.6917, l2 loss = 3.97575 (max 14.95), (true 733, predicted [403])
attack: step 5/30, xent loss = 9.81536, l2 loss = 5.30333 (max 14.95), (true 733, predicted [403])
attack: step 6/30, xent loss = 11.9109, l2 loss = 6.66716 (max 14.95), (true 733, predicted [403])
attack: step 7/30, xent loss = 16.1443, l2 loss = 7.30147 (max 14.95), (true 733, predicted [403])
attack: step 8/30, xent loss = 9.55556, l2 loss = 8.71783 (max 14.95), (true 733, predicted [403])
attack: step 9/30, xent loss = 12.4054, l2 loss = 10.1612 (max 14.95), (true 733, predicted [403])
attack: step 10/30, xent loss = 16.6295, l2 loss = 10.4739 (max 14.95), (true 733, predicted [403])
attack: step 11/30, xent loss = 16.9998, l2 loss = 11.6182 (max 14.95), (true 733, predicted [403])
attack: step 12/30, xent loss = 24.9071, l2 loss = 11.8761 (max 14.95), (true 733, predicted [403])
attack: step 13/30, xent loss = 18.7742, l2 loss = 12.7611 (max 14.95), (true 733, predicted [403])
attack: step 14/30, xent loss = 21.4295, l2 loss = 13.1991 (max 14.95), (true 733, predicted [403])
attack: step 15/30, xent loss = 18.4595, l2 loss = 14.6344 (max 14.95), (true 733, predicted [403])
attack: step 16/30, xent loss = 28.1497, l2 loss = 14.8669 (max 14.95), (true 733, predicted [403])
attack: step 17/30, xent loss = 27.3432, l2 loss = 15.2398 (max 14.95), (true 733, predicted [403])
attack: step 18/30, xent loss = 22.3379, l2 loss = 16.0095 (max 14.95), (true 733, predicted [403])
attack: step 19/30, xent loss = 26.1574, l2 loss = 16.31 (max 14.95), (true 733, predicted [403])
attack: step 20/30, xent loss = 25.8832, l2 loss = 17.1522 (max 14.95), (true 733, predicted [403])
attack: step 21/30, xent loss = 38.1712, l2 loss = 17.3822 (max 14.95), (true 733, predicted [403])
attack: step 22/30, xent loss = 35.1055, l2 loss = 17.8252 (max 14.95), (true 733, predicted [403])
attack: step 23/30, xent loss = 29.2312, l2 loss = 18.3475 (max 14.95), (true 733, predicted [403])
attack: step 24/30, xent loss = 35.2331, l2 loss = 18.8953 (max 14.95), (true 733, predicted [403])
attack: step 25/30, xent loss = 45.9219, l2 loss = 19.2077 (max 14.95), (true 733, predicted [403])
attack: step 26/30, xent loss = 41.7048, l2 loss = 19.5708 (max 14.95), (true 733, predicted [403])
attack: step 27/30, xent loss = 53.1585, l2 loss = 19.8967 (max 14.95), (true 733, predicted [403])
attack: step 28/30, xent loss = 52.1028, l2 loss = 20.2327 (max 14.95), (true 733, predicted [403])
attack: step 29/30, xent loss = 46.3696, l2 loss = 20.6393 (max 14.95), (true 733, predicted [403])
attack: step 30/30, xent loss = 50.0865, l2 loss = 21.06 (max 14.95), (true 733, predicted [403])
check failed
true = 733, adv = 403
evaluating 631 of [630, 640)
attack: step 1/30, xent loss = 1.08761, l2 loss = 0 (max 14.95), (true 206, predicted [206])
attack: step 2/30, xent loss = 9.57206, l2 loss = 1.74783 (max 14.95), (true 206, predicted [234])
attack: step 3/30, xent loss = 16.5928, l2 loss = 2.10344 (max 14.95), (true 206, predicted [234])
attack: step 4/30, xent loss = 19.5506, l2 loss = 2.68145 (max 14.95), (true 206, predicted [234])
attack: step 5/30, xent loss = 16.7591, l2 loss = 4.0742 (max 14.95), (true 206, predicted [234])
attack: step 6/30, xent loss = 19.9844, l2 loss = 4.86587 (max 14.95), (true 206, predicted [234])
attack: step 7/30, xent loss = 21.4165, l2 loss = 5.68829 (max 14.95), (true 206, predicted [234])
attack: step 8/30, xent loss = 24.8871, l2 loss = 6.29054 (max 14.95), (true 206, predicted [234])
attack: step 9/30, xent loss = 25.4509, l2 loss = 6.68051 (max 14.95), (true 206, predicted [234])
attack: step 10/30, xent loss = 25.7969, l2 loss = 7.37343 (max 14.95), (true 206, predicted [234])
attack: step 11/30, xent loss = 34.6896, l2 loss = 7.60538 (max 14.95), (true 206, predicted [234])
attack: step 12/30, xent loss = 33.8977, l2 loss = 7.97741 (max 14.95), (true 206, predicted [234])
attack: step 13/30, xent loss = 32.4264, l2 loss = 8.49992 (max 14.95), (true 206, predicted [234])
attack: step 14/30, xent loss = 24.6248, l2 loss = 9.26516 (max 14.95), (true 206, predicted [234])
attack: step 15/30, xent loss = 22.1447, l2 loss = 10.0003 (max 14.95), (true 206, predicted [234])
attack: step 16/30, xent loss = 31.4653, l2 loss = 10.3903 (max 14.95), (true 206, predicted [234])
