2019-05-30 04:27:11.152268: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-30 04:27:11.163130: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2600190000 Hz
2019-05-30 04:27:11.163365: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2aaae6ac09d0 executing computations on platform Host. Devices:
2019-05-30 04:27:11.163396: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-30 04:27:11.163808: I tensorflow/core/common_runtime/process_util.cc:71] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
evaluating 60 of [60, 70)
attack: step 1/30, xent loss = 3.44758, l2 loss = 0 (max 14.95), (true 856, predicted [730])
attack: step 2/30, xent loss = 11.4209, l2 loss = 1.52651 (max 14.95), (true 856, predicted [730])
attack: step 3/30, xent loss = 16.461, l2 loss = 2.77179 (max 14.95), (true 856, predicted [730])
attack: step 4/30, xent loss = 18.431, l2 loss = 4.11453 (max 14.95), (true 856, predicted [730])
attack: step 5/30, xent loss = 19.8269, l2 loss = 4.86572 (max 14.95), (true 856, predicted [730])
attack: step 6/30, xent loss = 18.219, l2 loss = 5.81999 (max 14.95), (true 856, predicted [792])
attack: step 7/30, xent loss = 23.6563, l2 loss = 6.37668 (max 14.95), (true 856, predicted [730])
attack: step 8/30, xent loss = 27.9836, l2 loss = 6.83931 (max 14.95), (true 856, predicted [730])
attack: step 9/30, xent loss = 28.0508, l2 loss = 7.32801 (max 14.95), (true 856, predicted [730])
attack: step 10/30, xent loss = 22.4367, l2 loss = 8.15623 (max 14.95), (true 856, predicted [730])
attack: step 11/30, xent loss = 26.5921, l2 loss = 8.77735 (max 14.95), (true 856, predicted [730])
attack: step 12/30, xent loss = 28.1574, l2 loss = 9.22991 (max 14.95), (true 856, predicted [730])
attack: step 13/30, xent loss = 25.124, l2 loss = 9.81992 (max 14.95), (true 856, predicted [730])
attack: step 14/30, xent loss = 31.2137, l2 loss = 10.3004 (max 14.95), (true 856, predicted [730])
attack: step 15/30, xent loss = 33.8647, l2 loss = 10.8198 (max 14.95), (true 856, predicted [730])
attack: step 16/30, xent loss = 35.0526, l2 loss = 11.2761 (max 14.95), (true 856, predicted [730])
attack: step 17/30, xent loss = 33.9953, l2 loss = 12.2248 (max 14.95), (true 856, predicted [730])
attack: step 18/30, xent loss = 40.5387, l2 loss = 12.6622 (max 14.95), (true 856, predicted [730])
attack: step 19/30, xent loss = 39.4426, l2 loss = 13.3464 (max 14.95), (true 856, predicted [730])
attack: step 20/30, xent loss = 40.2888, l2 loss = 13.7941 (max 14.95), (true 856, predicted [730])
attack: step 21/30, xent loss = 43.6494, l2 loss = 14.2937 (max 14.95), (true 856, predicted [730])
attack: step 22/30, xent loss = 52.5807, l2 loss = 14.6615 (max 14.95), (true 856, predicted [730])
attack: step 23/30, xent loss = 39.4043, l2 loss = 15.1427 (max 14.95), (true 856, predicted [730])
attack: step 24/30, xent loss = 47.2449, l2 loss = 15.6829 (max 14.95), (true 856, predicted [730])
attack: step 25/30, xent loss = 50.8322, l2 loss = 15.9894 (max 14.95), (true 856, predicted [730])
attack: step 26/30, xent loss = 49.3943, l2 loss = 16.4578 (max 14.95), (true 856, predicted [730])
attack: step 27/30, xent loss = 47.6323, l2 loss = 16.9327 (max 14.95), (true 856, predicted [730])
attack: step 28/30, xent loss = 51.6148, l2 loss = 17.4849 (max 14.95), (true 856, predicted [730])
attack: step 29/30, xent loss = 56.5891, l2 loss = 17.8333 (max 14.95), (true 856, predicted [730])
attack: step 30/30, xent loss = 50.8285, l2 loss = 18.3399 (max 14.95), (true 856, predicted [730])
check failed
true = 856, adv = 730
evaluating 61 of [60, 70)
attack: step 1/30, xent loss = 0.0717662, l2 loss = 0 (max 14.95), (true 259, predicted [259])
attack: step 2/30, xent loss = 0.13043, l2 loss = 0.0731616 (max 14.95), (true 259, predicted [259])
attack: step 3/30, xent loss = 0.272438, l2 loss = 0.175156 (max 14.95), (true 259, predicted [259])
